0,1
0,2
0.18,3
0.38,4
16.05,5
31.82,6
73.46,7
116.69,8
165.76,9
256.06,10
346.82,11
437.7,12
528.67,13
619.69,14
710.72,15
802.09,16
894.15,17
986.57,18
1079.46,19
1176.39,20
1273.63,21
1370.88,22
1468.3,23
1565.77,24
1663.27,25
1760.89,26
1858.51,27
1956.16,28
2053.84,29
2151.53,30
2249.22,31
2346.96,32
2444.74,33
2542.53,34
2640.37,35
2738.21,36
2836.06,37
2933.92,38
3031.79,39
3129.66,40
3227.56,41
3325.47,42
3423.4,43
3521.34,44
3619.3,45
3717.29,46
3815.29,47
3913.31,48
4011.36,49
4109.42,50
4207.49,51
4305.6,52
4403.71,53
4501.83,54
4599.95,55
4698.07,56
4796.2,57
4894.33,58
4992.47,59
5090.63,60
5188.8,61
5286.98,62
5385.17,63
5483.36,64
5581.55,65
5679.75,66
5777.95,67
5876.15,68
5974.36,69
6072.6,70
6170.85,71
6269.1,72
6367.37,73
6465.65,74
6563.93,75
6662.21,76
6760.5,77
6858.81,78
6957.14,79
7055.47,80
7153.81,81
7252.16,82
7350.53,83
7448.92,84
7547.31,85
7645.71,86
7744.13,87
7842.57,88
7941.02,89
8039.47,90
8137.94,91
8236.42,92
8334.9,93
8433.38,94
8531.87,95
8630.41,96
8728.97,97
8827.53,98
8926.09,99
9024.67,100
9123.25,101
9221.84,102
9320.44,103
9419.05,104
9517.67,105
9616.31,106
9714.96,107
9813.62,108
9912.28,109
10011,110
10109.7,111
10208.4,112
10307.1,113
10405.8,114
10504.5,115
10603.3,116
10702,117
10800.8,118
10899.5,119
10998.3,120
11097.1,121
11196,122
11294.9,123
11393.8,124
11492.7,125
11591.7,126
11690.7,127
11789.7,128
11888.7,129
11987.8,130
12086.8,131
12186,132
12285.1,133
12384.3,134
12483.5,135
12582.9,136
12682.6,137
